archivo,duracion_segundos,estacion,canal,sampling_rate,npts,starttime,endtime
CL.LC01.01.HHE.2022.001,86399.99,LC01,HHE,100.0,8640000,2022-01-01T00:00:00.000000Z,2022-01-01T23:59:59.990000Z
CL.LC01.01.HHE.2022.002,86399.99,LC01,HHE,100.0,8640000,2022-01-02T00:00:00.000000Z,2022-01-02T23:59:59.990000Z
CL.LC01.01.HHE.2022.003,86399.99,LC01,HHE,100.0,8640000,2022-01-03T00:00:00.000000Z,2022-01-03T23:59:59.990000Z
CL.LC01.01.HHE.2022.004,86399.99,LC01,HHE,100.0,8640000,2022-01-04T00:00:00.000000Z,2022-01-04T23:59:59.990000Z
CL.LC01.01.HHE.2022.005,86399.99,LC01,HHE,100.0,8640000,2022-01-05T00:00:00.000000Z,2022-01-05T23:59:59.990000Z
CL.LC01.01.HHE.2022.006,86399.99,LC01,HHE,100.0,8640000,2022-01-06T00:00:00.000000Z,2022-01-06T23:59:59.990000Z
CL.LC01.01.HHE.2022.007,86399.99,LC01,HHE,100.0,8640000,2022-01-07T00:00:00.000000Z,2022-01-07T23:59:59.990000Z
CL.LC01.01.HHE.2022.008,86399.99,LC01,HHE,100.0,8640000,2022-01-08T00:00:00.000000Z,2022-01-08T23:59:59.990000Z
CL.LC01.01.HHE.2022.009,86399.99,LC01,HHE,100.0,8640000,2022-01-09T00:00:00.000000Z,2022-01-09T23:59:59.990000Z
CL.LC01.01.HHE.2022.010,86399.99,LC01,HHE,100.0,8640000,2022-01-10T00:00:00.000000Z,2022-01-10T23:59:59.990000Z
CL.LC01.01.HHE.2022.011,86399.99,LC01,HHE,100.0,8640000,2022-01-11T00:00:00.000000Z,2022-01-11T23:59:59.990000Z
CL.LC01.01.HHE.2022.012,86399.99,LC01,HHE,100.0,8640000,2022-01-12T00:00:00.000000Z,2022-01-12T23:59:59.990000Z
CL.LC01.01.HHE.2022.013,86399.99,LC01,HHE,100.0,8640000,2022-01-13T00:00:00.000000Z,2022-01-13T23:59:59.990000Z
CL.LC01.01.HHE.2022.014,86399.99,LC01,HHE,100.0,8640000,2022-01-14T00:00:00.000000Z,2022-01-14T23:59:59.990000Z
CL.LC01.01.HHE.2022.015,86399.99,LC01,HHE,100.0,8640000,2022-01-15T00:00:00.000000Z,2022-01-15T23:59:59.990000Z
CL.LC01.01.HHE.2022.016,86399.99,LC01,HHE,100.0,8640000,2022-01-16T00:00:00.000000Z,2022-01-16T23:59:59.990000Z
CL.LC01.01.HHE.2022.017,86399.99,LC01,HHE,100.0,8640000,2022-01-17T00:00:00.000000Z,2022-01-17T23:59:59.990000Z
CL.LC01.01.HHE.2022.018,86399.99,LC01,HHE,100.0,8640000,2022-01-18T00:00:00.000000Z,2022-01-18T23:59:59.990000Z
CL.LC01.01.HHE.2022.019,86399.99,LC01,HHE,100.0,8640000,2022-01-19T00:00:00.000000Z,2022-01-19T23:59:59.990000Z
CL.LC01.01.HHE.2022.020,86399.99,LC01,HHE,100.0,8640000,2022-01-20T00:00:00.000000Z,2022-01-20T23:59:59.990000Z
CL.LC01.01.HHE.2022.021,86399.99,LC01,HHE,100.0,8640000,2022-01-21T00:00:00.000000Z,2022-01-21T23:59:59.990000Z
CL.LC01.01.HHE.2022.022,86399.99,LC01,HHE,100.0,8640000,2022-01-22T00:00:00.000000Z,2022-01-22T23:59:59.990000Z
CL.LC01.01.HHE.2022.023,86399.99,LC01,HHE,100.0,8640000,2022-01-23T00:00:00.000000Z,2022-01-23T23:59:59.990000Z
CL.LC01.01.HHE.2022.024,86399.99,LC01,HHE,100.0,8640000,2022-01-24T00:00:00.000000Z,2022-01-24T23:59:59.990000Z
CL.LC01.01.HHE.2022.025,86399.99,LC01,HHE,100.0,8640000,2022-01-25T00:00:00.000000Z,2022-01-25T23:59:59.990000Z
CL.LC01.01.HHE.2022.026,86399.99,LC01,HHE,100.0,8640000,2022-01-26T00:00:00.000000Z,2022-01-26T23:59:59.990000Z
CL.LC01.01.HHE.2022.027,86399.99,LC01,HHE,100.0,8640000,2022-01-27T00:00:00.000000Z,2022-01-27T23:59:59.990000Z
CL.LC01.01.HHE.2022.028,86399.99,LC01,HHE,100.0,8640000,2022-01-28T00:00:00.000000Z,2022-01-28T23:59:59.990000Z
CL.LC01.01.HHE.2022.029,86399.99,LC01,HHE,100.0,8640000,2022-01-29T00:00:00.000000Z,2022-01-29T23:59:59.990000Z
CL.LC01.01.HHE.2022.030,86399.99,LC01,HHE,100.0,8640000,2022-01-30T00:00:00.000000Z,2022-01-30T23:59:59.990000Z
CL.LC01.01.HHE.2022.031,86399.99,LC01,HHE,100.0,8640000,2022-01-31T00:00:00.000000Z,2022-01-31T23:59:59.990000Z
CL.LC01.01.HHE.2022.032,86399.99,LC01,HHE,100.0,8640000,2022-02-01T00:00:00.000000Z,2022-02-01T23:59:59.990000Z
CL.LC01.01.HHE.2022.033,86399.99,LC01,HHE,100.0,8640000,2022-02-02T00:00:00.000000Z,2022-02-02T23:59:59.990000Z
CL.LC01.01.HHE.2022.034,86399.99,LC01,HHE,100.0,8640000,2022-02-03T00:00:00.000000Z,2022-02-03T23:59:59.990000Z
CL.LC01.01.HHE.2022.035,86399.99,LC01,HHE,100.0,8640000,2022-02-04T00:00:00.000000Z,2022-02-04T23:59:59.990000Z
CL.LC01.01.HHE.2022.036,86399.99,LC01,HHE,100.0,8640000,2022-02-05T00:00:00.000000Z,2022-02-05T23:59:59.990000Z
CL.LC01.01.HHE.2022.037,86399.99,LC01,HHE,100.0,8640000,2022-02-06T00:00:00.000000Z,2022-02-06T23:59:59.990000Z
CL.LC01.01.HHE.2022.038,86399.99,LC01,HHE,100.0,8640000,2022-02-07T00:00:00.000000Z,2022-02-07T23:59:59.990000Z
CL.LC01.01.HHE.2022.039,86399.99,LC01,HHE,100.0,8640000,2022-02-08T00:00:00.000000Z,2022-02-08T23:59:59.990000Z
CL.LC01.01.HHE.2022.040,86399.99,LC01,HHE,100.0,8640000,2022-02-09T00:00:00.000000Z,2022-02-09T23:59:59.990000Z
CL.LC01.01.HHE.2022.041,86399.99,LC01,HHE,100.0,8640000,2022-02-10T00:00:00.000000Z,2022-02-10T23:59:59.990000Z
CL.LC01.01.HHE.2022.042,86399.99,LC01,HHE,100.0,8640000,2022-02-11T00:00:00.000000Z,2022-02-11T23:59:59.990000Z
CL.LC01.01.HHE.2022.043,86399.99,LC01,HHE,100.0,8640000,2022-02-12T00:00:00.000000Z,2022-02-12T23:59:59.990000Z
CL.LC01.01.HHE.2022.044,86399.99,LC01,HHE,100.0,8640000,2022-02-13T00:00:00.000000Z,2022-02-13T23:59:59.990000Z
CL.LC01.01.HHE.2022.045,86399.99,LC01,HHE,100.0,8640000,2022-02-14T00:00:00.000000Z,2022-02-14T23:59:59.990000Z
CL.LC01.01.HHE.2022.046,86399.99,LC01,HHE,100.0,8640000,2022-02-15T00:00:00.000000Z,2022-02-15T23:59:59.990000Z
CL.LC01.01.HHE.2022.047,86399.99,LC01,HHE,100.0,8640000,2022-02-16T00:00:00.000000Z,2022-02-16T23:59:59.990000Z
CL.LC01.01.HHE.2022.048,86399.99,LC01,HHE,100.0,8640000,2022-02-17T00:00:00.000000Z,2022-02-17T23:59:59.990000Z
CL.LC01.01.HHE.2022.049,86399.99,LC01,HHE,100.0,8640000,2022-02-18T00:00:00.000000Z,2022-02-18T23:59:59.990000Z
